Producto,Categoría,Precio (COP),Contenido,Descripción
Biobitex Especias Deshidratadas,Malteadas,55000,350gr,"Especias deshidratadas seleccionadas para dar sabor y aroma natural a tus preparaciones. Mezcla versátil que realza tus comidas y bebidas de forma saludable, sin aditivos artificiales."
Chocolageno con Cocoa,Malteadas,80000,700gr,"Colágeno en polvo con delicioso sabor a cocoa y chocolate. Apoya la salud de la piel, las articulaciones y los tejidos mientras disfrutas de una malteada nutritiva. Ideal para consentirte a diario."
Citrato de Magnesio en Polvo,Malteadas,40000,250g,"Magnesio en forma de citrato en polvo, de fácil asimilación. Ayuda al funcionamiento normal de músculos, huesos y sistema nervioso. Práctico para mezclar en agua o tus bebidas favoritas."
Citrato de Potasio en Polvo,Malteadas,80000,450gr,"Potasio en forma de citrato en polvo, fácil de mezclar en bebidas. Apoya el equilibrio de electrolitos, la función muscular y la presión arterial saludable. Perfecto para tu rutina de bienestar."
Colágeno 50 Marino y Bovino,Malteadas,80000,700gr,"Colágeno que combina fuentes marinas y bovinas para una nutrición completa. Aporta aminoácidos que apoyan la salud de piel, cabello, uñas y articulaciones. Ideal para mayores de 50 años."
Colágeno Hidrolizado en Polvo,Malteadas,60000,700g,"Colágeno hidrolizado en polvo de rápida absorción. Favorece la salud de la piel, el cabello, las uñas y las articulaciones. Fácil de mezclar en agua, jugos o batidos."
Colágeno Hidrolizado Vainilla,Malteadas,25000,250gr,"Colágeno hidrolizado con delicioso sabor a vainilla. Apoya la elasticidad de la piel, la salud articular y el bienestar general. Perfecto para preparar malteadas dulces y nutritivas."
Colágeno Hidrolizado Vainilla,Malteadas,60000,700 gr,"Colágeno hidrolizado sabor vainilla en presentación de 700 gramos. Apoya la salud de piel, articulaciones y cabello con un sabor delicioso. Rinde para varias semanas de consumo."
Colágeno Hidrolizado Vainilla,Malteadas,70000,700 gr,"Colágeno hidrolizado con delicioso sabor a fresa. Favorece la salud de piel, cabello, uñas y articulaciones. Perfecto para preparar malteadas dulces y nutritivas."
Colágeno Hidrolizado VitalSinú,Malteadas,45000,250gr,"Colágeno hidrolizado en polvo que ayuda a mantener la salud de piel, articulaciones y cabello. Se mezcla fácilmente en cualquier bebida. Puro y de alta calidad."
Colágeno Marino,Malteadas,35000,250gr,"Colágeno marino en polvo, de fuente natural de pescado. Rico en aminoácidos que favorecen la salud de la piel y las articulaciones. Se absorbe fácilmente en tu organismo."
Colágeno Marino Sin Lácteos,Malteadas,50000,500g,"Colágeno marino en polvo, libre de lácteos. Apoya la salud de piel, cabello, uñas y articulaciones. Adecuado para personas con sensibilidad o dietas sin productos lácteos."
Colla Men,Malteadas,85000,700gr,"Colágeno especialmente formulado para hombres. Ayuda a mantener la salud de articulaciones, músculos y tendones. Disfrútalo en una malteada práctica para tu día a día."
Factor Shake,Malteadas,50000,500gr,Mezcla en polvo para malteada nutritiva y completa. Aporta nutrientes que apoyan la energía y el bienestar diario. Fácil de preparar para acompañar tu rutina de vida saludable.
Glucosamina y Condroitina en Polvo,Malteadas,100000,,Combinación de glucosamina y condroitina en polvo para el cuidado de las articulaciones. Favorece la movilidad y el confort articular. Ideal para incorporar a tus bebidas diarias.
Glutation en Polvo,Malteadas,90000,600 gr,"Glutatión en polvo, poderoso antioxidante natural. Ayuda a proteger las células del daño oxidativo y apoya la desintoxicación del organismo. Fácil de mezclar en tus bebidas."
Golden Milk,Malteadas,60000,200 gr,"Golden milk en polvo, bebida dorada con cúrcuma y especias. Reconfortante y cálida, favorece el bienestar general y la digestión. Disfrútala con leche caliente o bebida vegetal."
Inmuno Vitaliah,Malteadas,60000,600 gr,Suplemento en polvo formulado para apoyar las defensas del organismo. Aporta nutrientes que contribuyen al buen funcionamiento del sistema inmunológico. Ideal para reforzar tu salud diaria.
Kamasut,Malteadas,60000,350gr,Suplemento en polvo formulado para apoyar el bienestar y la vitalidad. Favorece la energía y el equilibrio general del organismo. Mezcla fácil en agua o tus malteadas.
Latte Vegano,Malteadas,75000,250g,"Latte en polvo 100% vegano, cremoso y delicioso. Perfecto para disfrutar una bebida caliente nutritiva sin ingredientes de origen animal. Ideal como alternativa saludable al café o el chocolate."
Leche Dorada,Malteadas,75000,250gr,Leche dorada en polvo elaborada con cúrcuma y especias. Bebida cálida y reconfortante que favorece el bienestar general. Disfrútala con leche o tu bebida vegetal favorita.
Linaza y Flor de Jamaica,Malteadas,30000,425g,"Mezcla de linaza y flor de jamaica en polvo. La linaza aporta fibra y omega 3, mientras la jamaica refresca y aporta antioxidantes. Ideal para batidos y bebidas."
Linofiber,Malteadas,60000,500g,Fibra de linaza en polvo que favorece la salud digestiva y el tránsito intestinal. Aporta saciedad y ayuda al equilibrio del organismo. Fácil de añadir a jugos y malteadas.
Lion Factor,Malteadas,95000,500gr,Suplemento adaptógeno en polvo para apoyar la energía y la vitalidad. Favorece el equilibrio del organismo frente al estrés. Una ayuda natural para tu día a día.
Maka+Plus con Chontaduro y Borojó,Malteadas,70000,700gr,"Maca andina con chontaduro y borojó, frutas autóctonas colombianas. Mezcla energizante que favorece la vitalidad y el bienestar. Un impulso natural y nutritivo para tu día."
Minergold,Malteadas,60000,700g,"Multimineral en polvo que aporta minerales esenciales para el equilibrio del organismo. Apoya el funcionamiento de músculos, huesos y sistema nervioso. Fácil de mezclar en tus bebidas."
Mix Golden,Malteadas,30000,250gr,"Mezcla de granos dorados en polvo, nutritiva y natural. Aporta energía, fibra y nutrientes para tus batidos y preparaciones. Una base deliciosa para malteadas saludables."
Multivitamínico Niños en Polvo,Malteadas,60000,700g,"Multivitamínico en polvo especialmente formulado para niños. Aporta vitaminas y minerales que apoyan el crecimiento y las defensas. Con delicioso sabor, fácil de mezclar en sus bebidas."
Promax,Malteadas,50000,700g,Proteína en polvo de alta calidad para complementar tu nutrición. Ayuda a mantener y construir masa muscular. Perfecta para preparar malteadas después del ejercicio o como snack.
Prost Up,Malteadas,60000,350 gr,Suplemento en polvo formulado para apoyar la salud prostática. Contiene nutrientes que favorecen el bienestar del hombre maduro. Fácil de mezclar en tus bebidas diarias.
Proteína CollaFem,Malteadas,110000,1020g,"Proteína enriquecida con colágeno, formulada especialmente para mujeres. Apoya masa muscular, piel y articulaciones en un solo batido. Deliciosa y práctica para tu día a día."
Proteína Vegana,Malteadas,95000,700gr,"Proteína vegetal en polvo 100% vegana. Combina fuentes vegetales para aportar aminoácidos y apoyar tu masa muscular. Ideal para batidos, sin ingredientes de origen animal."
Proteína Vegetal,Malteadas,45000,180gr,"Proteína en polvo de origen vegetal, fácil de digerir. Aporta aminoácidos que favorecen la recuperación y el mantenimiento muscular. Perfecta para malteadas y preparaciones saludables."
Resveratrol en Polvo,Malteadas,75000,500 gr,"Resveratrol en polvo, potente antioxidante de origen natural. Ayuda a combatir los radicales libres y favorece el bienestar celular. Fácil de mezclar en bebidas y batidos."
Te Chai con Crema Coco,Malteadas,35000,250gr,"Té chai en polvo con crema de coco, cálido y especiado. Mezcla de canela, jengibre y especias que reconforta. Disfrútalo con leche o bebida vegetal caliente."
Té Chai en Polvo,Malteadas,75000,250g,"Té chai en polvo con especias aromáticas como canela, cardamomo y jengibre. Bebida cálida y reconfortante para cualquier momento. Ideal para preparar un latte especiado en casa."
Té Matcha en Polvo,Malteadas,75000,250g,"Té verde matcha en polvo, rico en antioxidantes. Favorece la energía, la concentración y el bienestar general. Versátil para preparar bebidas calientes, frías o batidos."
Vitaliah Cel,Malteadas,60000,700 gr,"Colágeno en polvo para apoyar la salud de piel, cabello, uñas y articulaciones. Fácil de mezclar en agua, jugos o malteadas. Una ayuda diaria para tu belleza y bienestar."
Colnat,Multivitamínicos,35000,500ml,"Colnat es una bebida con colágeno natural y vitamina C, ideal para acompañar tu rutina de cuidado personal. Se consume en ayunas o en cualquier momento del día y se integra fácil a tu alimentación diaria."
Maltafor,Multivitamínicos,35000,350gr,"Maltafor es un complemento a base de maltas con hierro y vitaminas, perfecto como fuente de energía y nutrientes. Se disuelve fácil y se consume en tu bebida favorita, ideal para apoyar la vitalidad del día a día."
Vita C Pluss,Multivitamínicos,50000,500ml,"Vita C Pluss es una bebida de vitamina C que contribuye al sistema inmune. Su sabor agradable la hace fácil de consumir a diario, acompañando tu alimentación saludable como un refuerzo natural de defensas."
Bolillos Integrales,Panadería Integral,2500,,"Bolillos integrales, panecillos suaves y de sabor casero, elaborados con harina integral de trigo. Con más fibra para una alimentación balanceada. Perfectos para el desayuno, la merienda o para acompañar tus comidas del día."
Galletas Integrales Prema,Panadería Integral,2500,,"Galletas integrales Prema, crujientes y deliciosas, elaboradas con harina integral de trigo. Con más fibra, ideales para una alimentación balanceada. Perfectas para acompañar el café, el té o para disfrutar como merienda en cualquier momento."
Galletas Integrales Sorbetto,Panadería Integral,4500,,"Galletas integrales Sorbetto, crujientes y de sabor delicado, elaboradas con harina integral. Aportan más fibra para una alimentación balanceada. Perfectas para el desayuno, la merienda o para acompañar tus bebidas calientes favoritas."
Mogollas Integrales,Panadería Integral,4000,,"Mogollas integrales, pan redondo tradicional, suave y esponjoso, elaborado con harina integral de trigo. Con más fibra para una alimentación balanceada. Ideales para el desayuno, la lonchera o para compartir en familia con café o chocolate."
Pan de Coco,Panadería Integral,6000,,"Pan de coco, dulce y esponjoso, con el sabor característico del coco. Un clásico de la panadería tradicional colombiana. Perfecto para el desayuno, la merienda o para disfrutar con café o chocolate caliente en cualquier momento."
Pan de Maíz,Panadería Integral,6000,,"Pan de maíz, suave y de sabor tradicional, elaborado con harina de maíz. Un pan típico que evoca el sabor casero de la panadería colombiana. Ideal para el desayuno, la comida o para acompañar tus bebidas calientes."
Pan de Uvas,Panadería Integral,7500,,"Pan suave y casero con dulces pasas de uva, elaborado con harina integral. Perfecto para el desayuno, la merienda o para acompañar café y chocolate caliente en cualquier momento del día."
Roscón de Guayaba,Panadería Integral,6000,,"Roscón de guayaba, un clásico de la panadería tradicional, suave y relleno de dulce de guayaba. Perfecto para el desayuno, la merienda o para acompañar café y chocolate. El equilibrio ideal entre pan esponjoso y dulce de fruta."
Torta Integral Sorbetto,Panadería Integral,5500,100gr,"Torta integral Sorbetto, esponjosa y deliciosa, elaborada con harina integral de trigo. Con más fibra para una alimentación balanceada. Ideal para el desayuno, la merienda o para consentirte con un bocado dulce y natural."
Achiras de Sagu,Pasabocas,3500,25gr,"Achiras de sagú, crocantes y tradicionales, típicas de la gastronomía colombiana. Elaboradas con almidón de sagú, son ideales para acompañar el café o como pasabocas. Su textura ligera y sabor delicado encantan a todos."
Barras Cereales Suvifit,Pasabocas,5000,25gr,"Barra de cereales endulzada naturalmente, compacta y práctica. Ideal para llevar a la oficina, el colegio o de viaje, perfecta como merienda saludable y energía para cualquier momento del día."
Caramelo de Yacon x 4,Pasabocas,6500,4 unidades,"Caramelos de yacón, endulzados naturalmente y suaves de sabor. Sin azúcar añadida, ideales para consentirse y compartir en familia. Una opción más saludable para calmar el antojo."
Caramelo Yacón SuvíFit x 10,Pasabocas,7500,10 unidades,"Caramelo de yacón SuvíFit, suave y dulce, endulzado naturalmente con jarabe de yacón. Bajo en azúcar, ideal para quienes cuidan su alimentación sin renunciar al sabor. Un capricho natural para disfrutar en cualquier momento."
Chicharrines de Maíz,Pasabocas,6000,40g,"Chicharrines de maíz, crocantes y sabrosos, el pasabocas ideal para compartir. Su textura crujiente y sabor salado los hacen perfectos para acompañar reuniones, películas o como antojo natural en cualquier ocasión."
Chips de Sagu con Proteina,Pasabocas,3500,30gr,"Chips de sagú con proteína, crocantes y nutritivos, un pasabocas natural. Elaborados con almidón de sagú y enriquecidos con proteína vegetal. Perfectos para acompañar reuniones, películas o el café."
Dulces Dietéticos,Pasabocas,5000,10 unidades,"Dulces dietéticos, deliciosos y endulzados naturalmente con stevia, ideales para quienes cuidan el consumo de azúcar. Perfectos para consentirte sin culpas, acompañar el café o regalar. Un dulce momento natural y ligero."
"Picaditas - Papitas, Platanitos, Chicharrín",Pasabocas,6500,50gr,"Picaditas surtidas de papitas, platanitos y chicharrín, crocantes y sabrosas. La mezcla perfecta de pasabocas para compartir en reuniones o como antojo natural. Un acompañante ideal para cualquier ocasión."
Platanitos Naruna,Pasabocas,6000,50g,"Platanitos Naruna, crocantes y salados, elaborados con plátano verde. El pasabocas perfecto para acompañar reuniones, películas o como antojo natural. Su textura crujiente y sabor auténtico los hacen irresistibles para toda la familia."
Rosquitas de Sagú,Pasabocas,2500,20gr,"Rosquitas de sagú, crocantes y ligeras, el pasabocas típico de la costa colombiana. Elaboradas con almidón de sagú, son ideales para acompañar el café, la merienda o para disfrutar como antojo natural en cualquier momento."
Rosquitas de Yuca,Pasabocas,4500,20gr,"Rosquitas de yuca, crocantes y deliciosas, típicas de la tradición costeña colombiana. Elaboradas con yuca, son perfectas para acompañar el café, la merienda o como pasabocas natural. Su textura crujiente encanta a todos."
Turrón con Stevia,Pasabocas,4000,35g,"Turrón con stevia, crocante y dulce, endulzado naturalmente con stevia. Bajo en azúcar, ideal para quienes cuidan su alimentación sin dejar de consentirse. Perfecto para acompañar el café o para compartir en ocasiones especiales."
Turrón Yacon SuvíFit,Pasabocas,4500,25gr,"Turrón con yacón SuvíFit, crocante y delicioso, endulzado naturalmente y bajo en azúcar. Elaborado con ingredientes seleccionados para quienes cuidan su alimentación. Perfecto para la merienda, acompañar el café o disfrutar como antojo natural."
Turrones Piñitas Naruna,Pasabocas,1800,25gr,"Turrones con piñitas Naruna, crocantes y deliciosos, endulzados naturalmente. Bajo en azúcar, ideales para la merienda, acompañar el café o disfrutar como antojo natural en cualquier momento."
Miel de Abejas,Productos de Colmena,18000,500gr,"Miel de abejas pura, dorada y de sabor dulce natural, cosechada directamente de la colmena. Ideal para endulzar bebidas, acompañar panes, frutas o postres. Un alimento natural de origen tradicional, perfecto para toda la familia."
Polen,Productos de Colmena,15000,100gr,"Polen de abejas, granulado y de sabor suave, recolectado directamente de la colmena. Rico en nutrientes naturales, ideal para agregar a batidos, yogures, cereales o ensaladas. Un complemento natural para tu alimentación diaria."
Propitos,Productos de Colmena,30000,240ml,"Propiitos de propóleo, presentación líquida natural proveniente de la colmena. Conocido tradicionalmente como apoyo para la garganta. Ideal para usar de forma natural en temporadas de clima frío o como complemento del cuidado diario."
Propoleo Picaflor,Productos de Colmena,24000,250gr,"Propoleo Picaflor, propóleo en presentación natural proveniente de la colmena de abejas. Reconocido tradicionalmente como apoyo para la garganta y las vías respiratorias. Un aliado natural para tu cuidado diario, listo para usar."
Carnita Vegana,Proteínas Vegetales,25000,500gr,"Carnita vegana de soya texturizada molida, 100% vegetal y alta en proteína. Perfecta para guisos, pastas o tacos, se prepara como la carne molida tradicional y tiene una textura firme que absorbe todo el sabor de tus especias."
Chorizo Quinua Finas Hierbas,Proteínas Vegetales,23000,400gr / 6unidades,"Chorizos de quinua con finas hierbas, una versión gourmet 100% vegetal. Textura suave, aromáticos y perfectos para asar o acompañar con arepas. Ricos en proteína de quinua, una opción saludable para la parrilla."
Chorizo Vegetales,Proteínas Vegetales,22000,250g / 5 und,"Chorizos vegetales listos para asar, jugosos y con el toque ahumado que buscas. 100% vegetales y ricos en proteína de soya, ideales para la parrilla, arroces o acompañar con arepa y aguacate."
Churrasco Vegano,Proteínas Vegetales,26000,400g / 5 und,"Churrasco vegano en porciones para asar, con textura firme que recuerda la carne a la parrilla. 100% vegetal y alto en proteína de soya, perfecto para tus almuerzos de fin de semana o comidas especiales."
Ensalada Imitacion Pollo,Proteínas Vegetales,23000,250gr,"Ensalada de soya con textura y sabor que imitan al pollo, lista para comer. Perfecta para acompañar arepas, tortillas o sándwiches, o como base de tus comidas frías. 100% vegetal, alta en proteína y muy práctica."
Filete Apanado Quinua,Proteínas Vegetales,27000,400gr / 5unidades,"Filetes apanados de quinua, crujientes por fuera y tiernos por dentro. Se hornean o fríen y quedan perfectos con arroz, puré o ensalada. 100% vegetales, altos en proteína de quinua y fáciles de preparar en minutos."
Filete Salmon Quinua,Proteínas Vegetales,26000,400gr / 5unidades,"Filetes de quinua con sabor a salmón, una alternativa vegetal sorprendente. Se saltean, doran o preparan al horno con un toque de limón. 100% vegetales, ricos en proteína de quinua y con textura firme y jugosa."
Hamburguesa Quinua Alcachofa,Proteínas Vegetales,23000,500gr / 5unidades,"Hamburguesas de quinua con alcachofa, jugosas y llenas de sabor. Se doran en sartén o parrilla y combinan perfecto con pan integral y vegetales. 100% vegetales, ricas en proteína de quinua y muy versátiles."
Hamburguesa Vegetales,Proteínas Vegetales,25000,320g / 5 und,"Hamburguesas vegetales de soya texturizada, suaves por dentro y doradas por fuera. Se preparan a la parrilla o en sartén y combinan perfecto con pan, queso vegano y vegetales frescos. 100% vegetales y nutritivas."
Jamon Quinua Finas Hierbas,Proteínas Vegetales,22000,300gr / 9unidades,"Jamón de quinua con finas hierbas en lonchas suaves y aromáticas. Ideal para sándwiches, tortas o picadas saludables. 100% vegetal, alto en proteína de quinua y con un sabor delicado que enamora."
Jamon Vegetales,Proteínas Vegetales,24000,250g / 8 und,"Jamón vegetal de soya texturizada en lonchas finas, ideal para sándwiches, tortas y picadas. Textura suave y sabor delicado que imita al jamón tradicional. 100% vegetal, alto en proteína y libre de carnes."
Nuggets Vegetales,Proteínas Vegetales,23000,,"Nuggets vegetales crocantes por fuera y suaves por dentro, hechos a base de proteína de soya. Se hornean o fríen en minutos y son perfectos para acompañar salsas, arroz o una comida rápida. 100% vegetales, ideales para toda la familia."
Queso de Soya (Tofu),Proteínas Vegetales,22000,500gr,"Tofu fresco de soya, suave y versátil, ideal para guisos, salteados, ensaladas o a la parrilla. 100% vegetal y rico en proteína, absorbe el sabor de tus condimentos y se adapta a muchas recetas."
Queso de Soya (Tofu) con Ajo y Quinua,Proteínas Vegetales,22000,500gr,"Tofu de soya con ajo y quinua, una combinación sabrosa y nutritiva. Textura firme ideal para saltear, asar o preparar en salsas. 100% vegetal, alto en proteína y listo para dar sabor a tus platos."
Salchicha Perro Vegetales,Proteínas Vegetales,28000,300g / 7 und,"Salchichas tipo perro caliente 100% vegetales, jugosas y con sabor ahumado. Se preparan en agua o a la parrilla y quedan perfectas con pan, salsas y papitas. Ricas en proteína de soya, ideales para snacks y comidas rápidas."
Salchicha Vegetales,Proteínas Vegetales,22000,250gr / 8unidades,"Salchichas vegetales suaves y sabrosas, hechas a base de proteína de soya. Se calientan en agua o sartén y son perfectas para perros calientes, guisos o con puré. 100% vegetales y nutritivas, deliciosas para toda la familia."
Salchichon Vegetales,Proteínas Vegetales,32000,500g,"Salchichón vegetal de soya texturizada, ideal para rebanar en picadas, tortas o desayunos. Textura firme y sabor suave muy parecido al tradicional. 100% vegetal, alto en proteína y práctico para llevar a cualquier lado."
